t,B00_A_0000,B00_A_0001
1.6600000000000001,(0.016783081184215353-0.015690900803758654j),(-1.192841675140964e-09-1.7481769546655602e-09j)
1.67,(0.015185122287101139-0.017242738980671843j),(-1.1307902477590716e-09-1.4490326859755e-09j)
1.68,(0.0133929951335827-0.018669466069858927j),(-1.0611656973119358e-09-1.1897733185938732e-09j)
1.69,(0.011411011889224321-0.019943140193359486j),(-9.86714372580008e-10-9.664982777904768e-10j)
1.7,(0.009247574361041037-0.021034223859995756j),(-9.097696493930888e-10-7.755051807058214e-10j)
1.71,(0.006915791881902261-0.02191213331095675j),(-8.322771887589532e-10-6.13294014882976e-10j)
1.72,(0.00443404980678659-0.022545950377730665j),(-7.558225666325132e-10-4.765754646249322e-10j)
1.73,(0.0018264910585395143-0.022905301596045063j),(-6.816616030994132e-10-3.622803968034624e-10j)
1.74,(-0.0008766315692981216-0.022961401396665256j),(-6.107530667729466e-10-2.6756823084179613e-10j)
1.75,(-0.0036387779021495965-0.02268824631236232j),(-5.437930002349592e-10-1.898326230946656e-10j)
1.76,(-0.006417164329984565-0.022063935494394157j),(-4.812496848474735e-10-1.267035456671731e-10j)
1.77,(-0.009163074160284524-0.021072079827295045j),(-4.2339820540470796e-10-7.604539718761132e-11j)
1.78,(-0.011822474165098419-0.019703248222309577j),(-3.7035365703729437e-10-3.5951227633349874e-11j)
1.79,(-0.01433696863325178-0.017956386707792156j),(-3.221027727451922e-10-4.733715335696343e-12j)
1.8,(-0.01664510692879474-0.0158401297992384j),(-2.785308951829296e-10+1.908696642245183e-11j)
1.81,(-0.01868404367724991-0.01337392227041928j),(-2.394476734065322e-10+3.679795062731079e-11j)
1.82,(-0.020391532175782663-0.010588856597206573j),(-2.0460912871257442e-10+4.950950920848946e-11j)
1.83,(-0.021708203762646257-0.0075281318060017j),(-1.7373572813421983e-10+5.817157158918799e-11j)
1.84,(-0.022580061057991815-0.004247047483593686j),(-1.4652733130172018e-10+6.359036008567802e-11j)
1.85,(-0.022961087160721313-0.0008124593972094451j),(-1.2267523110938978e-10+6.644467522544616e-11j)
1.86,(-0.022815849358003158+0.002698355641157008j),(-1.018715758642202e-10+6.730146514046591e-11j)
1.87,(-0.022121957043581403+0.006199449402376411j),(-8.381649674042114e-11+6.663041321982174e-11j)
1.8800000000000001,(-0.02087222173799961+0.009598555054320843j),(-6.822327513213352e-11+6.481736983511233e-11j)
1.8900000000000001,(-0.01907636452474283+0.012799992223854742j),(-5.482187603362025e-11+6.217653292182437e-11j)
1.9000000000000001,(-0.016762124535067067+0.01570803170721586j),(-4.33611517259034e-11+5.896134667573541e-11j)
1.9100000000000001,(-0.01397564225067217+0.0182305867079259j),(-3.36099898986793e-11+5.5374137528259823e-11j)
1.92,(-0.010781023293319696+0.020283061634211185j),(-2.5357646012031476e-11+5.157454297405662e-11j)
1.93,(-0.007259030978012962+0.021792161884196744j),(-1.8413454603257222e-11+4.768682220125844e-11j)
1.94,(-0.0035049079801792206+0.02269945228924916j),(-1.260598465628774e-11+4.3806229621986606e-11j)
1.95,(0.0003746231913249439+0.022964450255978885j),(-7.782158282687045e-12+4.000416670145558e-11j)
1.96,(0.004265065194648878+0.0225670502966249j),(-3.8060263075617156e-12+3.6332681631802376e-11j)
1.97,(0.008048393774614197+0.02150911018396799j),(-5.574529421501504e-13+3.282828708306064e-11j)
1.98,(0.011607642005433343+0.01981507056010784j),(2.069218240682987e-12+2.951512968180026e-11j)
1.99,(0.014831581905662057+0.01753153564835136j),(4.166500569769484e-12+2.6407621544282196e-11j)
2.0,(0.017619249631620166+0.014725806246315722j),(5.815066436184035e-12+2.3512609979215603e-11j)
